ID_Ra;Navn;DSK Kategori;Produkt;Kategori;Total kg CO2e/kg
Ra00401;Tortillabrød, hvede;Brød/bageartikler;Tortillabrød, hvede;Brød og bageartikler;1,16
Ra00402;Pizzasovs;Frugt/grøntsagsprodukter;Pizzasovs;Grøntsager og grøntsagsprodukter;1,92
Ra00403;Pastasovs;Frugt/grøntsagsprodukter;Pastasovs;Grøntsager og grøntsagsprodukter;1,92
Ra00404;Kokosmælk;Frugt/grøntsagsprodukter;Kokosmælk;Grøntsager og grøntsagsprodukter;6,33
Ra00405;Hvidløgsbaguette, frossen;Tilberedte/konserverede fødevarer;Hvidløgsbaguette, frost;Brød og bageartikler;1,44
Ra00406;Müslibar, chokolade;Korn-/gryn-/bælgfrugtprodukter;Müslibar, chokolade;Korn og kornprodukter;3,01
Ra00407;Cup noodles chicken;Tilberedte/konserverede fødevarer;Kopnudler, kylling;Færdigretter;1,89
Ra00408;Skivet champignon;Frugt/grøntsagsprodukter;Skivet champignon;Svampe og svampeprodukter;0,32
Ra00409;Mikroovns popcorn;Frugt/grøntsagsprodukter;Mikroovns popcorn;Korn og kornprodukter;1,81
Ra00410;Thai meal panang curry chicken;Tilberedte/konserverede fødevarer;Thai meal panang curry chicken, færdigret;Færdigretter;3,61
Ra00411;Pommes frites, frost;Frugt/grøntsagsprodukter;Pommes frites, frost;Grøntsager og grøntsagsprodukter;0,80
Ra00412;Æbleskiver;Brød/bageartikler;Æbleskiver;Brød og bageartikler;1,54
Ra00413;Kikærter, dåse;Frugt/grøntsagsprodukter;Kikærter, konserves;Bælgfrugter og bælgfrugtprodukter;1,15
Ra00414;Haricots verts, frost;Grøntsager;Grønne bønner, haricots verts, frost;Grøntsager og grøntsagsprodukter;2,16
Ra00415;Tortilla chips, cheese;Tilberedte/konserverede fødevarer;Tortilla chips, cheese;Korn og kornprodukter;2,43
Ra00416;Aspargessnitter;Frugt/grøntsagsprodukter;Aspargessnitter;Grøntsager og grøntsagsprodukter;1,79
Ra00417;Majs, hele kolber;Grøntsager;Majs, hele kolber;Grøntsager og grøntsagsprodukter;0,98
Ra00418;Rucola salat, skyllet;Tilberedte/konserverede fødevarer;Rucola salat, skyllet;Grøntsager og grøntsagsprodukter;0,57
Ra00419;Oliven tapenade;Frugt/grøntsagsprodukter;Oliven tapenade;Grøntsager og grøntsagsprodukter;2,77
Ra00420;Fyldt frisk pasta;Tilberedte/konserverede fødevarer;Fyldt frisk pasta;Korn og kornprodukter;1,88
Ra00421;Pepperoni;Kød/fjerkræ;Grisekød, pepperoni;Kød og fjerkræ;5,70
Ra00422;Kidney bønner;Frugt/grøntsagsprodukter;Kidney bønner, konserves;Bælgfrugter og bælgfrugtprodukter;1,17
Ra00423;Kylling, hel;Kød/fjerkræ;Kylling, hel;Kød og fjerkræ;3,27
Ra00424;Chorizo, skivet;Kød/fjerkræ;Grisekød, chorizo, skivet;Kød og fjerkræ;5,96
Ra00425;Kartoffelsalat;Frugt/grøntsagsprodukter;Kartoffelsalat;Grøntsager og grøntsagsprodukter;1,25
Ra00426;Cider  4,5 %;Drikkevarer;Cider  4,5 % vol.;Vin, øl og spiritus;1,15
Ra00427;Falafel, frost;Frugt/grøntsagsprodukter;Falafel, frost;Planteprodukter og -drikke;2,11
Ra00428;Biksemad, okse, færdigretter;Tilberedte/konserverede fødevarer;Biksemad, okse, færdigretter;Færdigretter;18,91
Ra00429;Biksemad, blandet kød, færdigretter;Tilberedte/konserverede fødevarer;Biksemad, blandet kød, færdigretter;Færdigretter;12,55
Ra00430;Grøntsagsbøffer;Frugt/grøntsagsprodukter;Grøntsagsbøf;Planteprodukter og -drikke;1,52
Ra00431;Forårsruller, grøntsager, færdigretter;Tilberedte/konserverede fødevarer;Forårsruller, grøntsager, færdigretter;Færdigretter;3,11
Ra00432;Forårsruller, kylling, færdigretter;Tilberedte/konserverede fødevarer;Forårsruller, kylling, færdigretter;Færdigretter;2,58
Ra00433;Forårsruller, oksekød, færdigretter;Tilberedte/konserverede fødevarer;Forårsruller, oksekød, færdigretter;Færdigretter;5,36
Ra00434;Boller i karry med ris og karrysauce, færdigretter;Tilberedte/konserverede fødevarer;Boller i karry med ris og karrysauce, færdigretter;Færdigretter;2,35
Ra00435;Porretærte med bacon, færdigretter;Tilberedte/konserverede fødevarer;Porretærte med bacon, færdigretter;Færdigretter;1,42
Ra00436;Parisertoast, færdigretter;Tilberedte/konserverede fødevarer;Parisertoast, færdigretter;Færdigretter;1,60
Ra00437;Kapers;Frugt/grøntsagsprodukter;Kapers;Grøntsager og grøntsagsprodukter;1,05
Ra00438;Babymajs;Frugt/grøntsagsprodukter;Babymajs;Grøntsager og grøntsagsprodukter;0,69
Ra00439;Sorte bønner;Frugt/grøntsagsprodukter;Sorte bønner, konserves;Bælgfrugter og bælgfrugtprodukter;1,17
Ra00440;Halve ferskner i juice;Frugt/grøntsagsprodukter;Halve ferskner i juice;Frugt og frugtprodukter;1,65
Ra00441;Marinerede artiskokker;Frugt/grøntsagsprodukter;Marinerede artiskokker;Grøntsager og grøntsagsprodukter;4,15
Ra00442;Cornichoner;Frugt/grøntsagsprodukter;Cornichoner;Grøntsager og grøntsagsprodukter;3,07
Ra00443;Hvidløg i olie;Frugt/grøntsagsprodukter;Hvidløg i olie;Grøntsager og grøntsagsprodukter;2,46
Ra00444;Halve pærer i juice;Frugt/grøntsagsprodukter;Halve pærer i juice;Frugt og frugtprodukter;1,23
Ra00445;Marinerede grillede peberfrugter;Frugt/grøntsagsprodukter;Marinerede grillede peberfrugter;Grøntsager og grøntsagsprodukter;2,53
Ra00446;Tahin, sesampasta;Krydderier/konserveringsmidler/ekstrakter;Tahin, sesampasta;Smagsgivere og krydderier;7,70
Ra00447;Soltørrede tomater;Frugt/grøntsagsprodukter;Soltørrede tomater;Grøntsager og grøntsagsprodukter;2,72
Ra00448;Røde linser, tørrede;Frugt/grøntsagsprodukter;Røde linser, tørrede;Bælgfrugter og bælgfrugtprodukter;3,08
Ra00449;Ajvar, relish;Krydderier/konserveringsmidler/ekstrakter;Ajvar, relish;Grøntsager og grøntsagsprodukter;2,96
Ra00450;Vegansk bønnepostej;Frugt/grøntsagsprodukter;Vegansk bønnepostej;Planteprodukter og -drikke;2,14
Ra00451;Plantepostej, ærteprotein og svamp;Frugt/grøntsagsprodukter;Plantepostej, ærteprotein og svamp;Planteprodukter og -drikke;0,93
Ra00452;Chilli cheese tops;Tilberedte/konserverede fødevarer;Chilli cheese tops;Mælk, mejeriprodukter og æg;1,43
Ra00453;Mozarella sticks;Tilberedte/konserverede fødevarer;Mozarella sticks;Mælk, mejeriprodukter og æg;1,60
Ra00454;Chili con carne, færdigretter;Tilberedte/konserverede fødevarer;Chili con carne, færdigretter;Færdigretter;30,41
